species,F.BIO.I,LAT.SPR,FLO.ST,FLO.PER,C....,S....,R....,Var.19,LNC.n,LNC.med,LNC.se,LCC.n,LCC.med,LCC.se,CN.n,CN.med,CN.se,LA.n,LA.med,LA.se,LDW.n,LDW.med,LDW.se,LFW.n,LFW.med,LFW.se,SLA.n,SLA.med,SLA.se,LDMC.n,LDMC.med,LDMC.se,KOE.n,KOE.med,KOE.se,CAN.n,CAN.med,CAN.se,Plant.Growth.Form,lnc_cv,lcc_cv,cn_cv,la_cv,ldw_cv,lfw_cv,sla_cv,ldmc.cv,can_cv
Achillea.moschata,7-Ch,4,5,1,6.54,62.72,30.74,S/SR,3,2.2,0.05,3,45.2,0.3,3,20.5,0.2,5,78,3,5,5,1,5,22,3,5,17,3,5,25,4,5,2,0,5,100,8,forb,0.039364791,0.011495912,0.016898057,0.086002615,0.447213595,0.304918361,0.394600231,0.357770876,0.178885438
Achillea.nana,3-H,2,5,1,18.19,21.34,60.46,R/CSR,3,2.2,0.05,3,40.3,0.1,3,18.1,0.3,12,149,15,12,9,1,12,49,5,12,17,0.05,12,19,0.05,12,3,0,1,75,NA,forb,0.039364791,0.004297893,0.028708024,0.348735062,0.384900179,0.353479757,0.010188534,0.009116057,NA
Adenostyles.leucophylla,3-H,3,5,1,56.66,0.2,43.13,CR,3,3.2,0.1,3,46.7,0.3,3,14.6,0.2,5,2440,361,5,117,20,5,702,147,5,21,2,5,17,1,5,2,0,5,358,32,forb,0.054126588,0.011126665,0.023726723,0.33082809,0.382233842,0.468236457,0.212958855,0.13153341,0.199871998
Agrostis.alpina,3-H,3,5,1,0,80.34,19.66,S/SR,3,1.8,0.05,3,43.5,0.05,3,24.3,0.2,12,20,1,12,1,0.05,12,4,0.05,12,14,0.05,12,35,1,12,1,0,1,175,NA,graminoid,0.048112522,0.001990863,0.014255562,0.173205081,0.173205081,0.04330127,0.012371791,0.098974332,NA
Agrostis.rupestris,3-H,3,5,1,1.94,84.55,13.51,S,3,1.7,0.1,3,46.2,0.1,3,27.5,1.5,5,38,2,5,3,0.05,5,11,1,5,12,1,5,29,3,5,2,0,5,85,7,graminoid,0.101885342,0.003749028,0.094475499,0.117687788,0.0372678,0.203278907,0.186338998,0.231317377,0.184146775
Agrostis.schraderana,3-H,5,5,1,10.1,57.19,32.71,S/CSR,3,2.7,0.05,3,48.3,0.2,3,17.8,0.3,6,281,14,6,12,0.05,6,36,2,6,23,1,6,34,1,6,1,0,6,245,42,graminoid,0.032075015,0.007172053,0.029191868,0.122038635,0.010206207,0.136082763,0.106499554,0.072043816,0.419912527
Alchemilla.alpina,3-H,5,4,2,22.9,69.83,7.26,S/CS,3,1.7,0.05,3,43.5,0.2,3,26.2,0.6,13,752,23,13,66,3,13,190,7,13,12,0.05,13,34,0.05,13,2,0,1,300,NA,forb,0.050942671,0.007963452,0.039665286,0.110276169,0.163888694,0.1328361,0.01502313,0.005302281,NA
Alchemilla.glaucescens,3-H,3,5,1,35.53,34.68,29.79,CSR,6,3.6,0.2,6,48.1,0.2,6,13.6,1,12,2330,197,12,105,9,12,402,36,12,23,2,12,26,1,12,1,0,12,145,15,forb,0.136082763,0.010184989,0.18010954,0.292887561,0.296922996,0.310218055,0.301226227,0.133234678,0.358355339
Alchemilla.pentaphyllea,3-H,5,5,1,13.4,43.44,43.16,SR/CSR,3,3.7,0.1,3,49.3,0.1,3,13.2,0.2,10,242,15,10,12,1,10,48,3,10,21,1,10,24,1,10,2,0,5,31,3,forb,0.046812184,0.003513288,0.026243194,0.196008946,0.263523138,0.197642354,0.15058465,0.131761569,0.216393675
Androsace.alpina,7-Ch,4,6,1,4.47,36.28,59.25,SR,3,2.3,0.05,3,42.9,0.1,3,18.9,0.2,13,47,2,13,3,0.05,13,14,1,13,17,0.05,13,20,0.05,13,2,0,1,20,NA,shrub (sub-),0.037653278,0.004037414,0.01832858,0.153427714,0.060092521,0.257539377,0.010604563,0.009013878,NA
