"","Sito","Replica","Classe","years","Quota","Esposizione","Inclinazione","Ghiaia","Sabbia","Limo","Argilla","pH","Carb"
"dcg","O","1","0",0,"2610","56","16","65","8","26","1",6.6,0.92
"dcg.1","O","2","0",0,"2609","76","11","65","8","26","1",6.5,0.51
"dcg.2","O","3","0",0,"2608","67","12","65","8","26","1",6.5,0.57
"dcg.3","G","1","0",0,"2630","22","20","78","19","2","0",5.3,3.62
"dcg.4","G","2","0",0,"2630","22","20","78","19","2","0",6.1,0.9
"dcg.5","G","3","0",0,"2630","157","20","78","19","2","0",5.4,0.92
"ppg","P","1","I",10,"2544","46","12","63","4","32","1",7,0.67
"ppg.1","P","2","I",10,"2541","318","7","63","4","31","1",6,5.32
"ppg.2","P","3","I",10,"2541","296","18","63","4","31","1",6.7,0.38
"ppg.3","I","1","I",10,"2540","90","5","35","55","10","0",6.4,0.94
"ppg.4","I","2","I",10,"2540","90","5","35","55","10","0",6.6,0
"ppg.5","I","3","I",10,"2540","90","5","35","55","10","0",6.3,1.48
"ppg.6","I","4","I",10,"2540","90","5","35","55","10","0",6.1,0.88
"ppg.7","Q","1","II",55,"2536","109","17","23","19","54","3",6.6,0.57
"ppg.8","Q","2","II",55,"2535","33","12","42","15","42","1",5.2,5.43
"ppg.9","Q","3","II",55,"2536","51","11","42","15","42","1",5.7,16.12
"ppg.10","L","1","II",55,"2520","60","15","63","28","8","1",5.5,12.67
"ppg.11","L","2","II",55,"2520","60","15","63","28","8","1",5.4,8.33
"ppg.12","L","3","II",55,"2520","60","15","63","28","8","1",5.7,8.44
"ppg.13","R","1","III",125,"2475","33","10","32","13","54","1",5.2,29.61
"ppg.14","R","2","III",125,"2475","30","7","32","13","54","1",5.3,13.75
"ppg.15","R","3","III",125,"2477","19","17","32","13","54","1",5.6,11.52
"ppg.16","M","1","III",125,"2505","80","0","47","46","7","0",5.4,24.52
"ppg.17","M","2","III",125,"2505","80","0","47","46","7","0",5.3,20.34
"ppg.18","M","3","III",125,"2505","80","0","47","46","7","0",5.2,46.28
"curv","S","1","IV",5000,"2423","0","17","32","18","41","6",5,23.83
"curv.1","S","2","IV",5000,"2426","3","32","32","18","41","6",5,89.55
"curv.2","S","3","IV",5000,"2428","342","22","32","18","41","6",5,125.13
"curv.3","F","1","IV",5000,"2420","80","35","28","31","38","4",5.1,259.59
"curv.4","F","2","IV",5000,"2420","90","35","28","31","38","4",5,234.16
"curv.5","F","3","IV",5000,"2420","70","35","28","31","38","4",5.2,261
"curv.6","Fb","1","IV",5000,"2375","45","15","41","32","20","6",4.7,172.76
"curv.7","Fb","2","IV",5000,"2375","50","20","41","32","20","6",4.8,85.65
"curv.8","Fb","3","IV",5000,"2375","20","15","41","32","20","6",4.9,109.14
