"","Date","Quota (m s.l.m.)","Esposizione (°)","Inclinazione (°)","years","Datazione","Cover %","Moss / Lichen cover %","Surface (sqm)"
"T01_1","7/16/04","2705","145","5",10,"< 1986","5","-","25"
"T02_3","7/28/04","2715","0","0",30,"1986","15","-","25"
"T03_2","7/18/04","2710","0","0",40,"< 1965","20","-","21"
"T01_2","7/28/04","2707","170","5",10,"< 1986","10","-","24.5"
"T02_1","7/16/04","2715","140","15",30,"1986","10","-","25"
"T01_3","7/28/04","2704","0","0",10,"< 1986","15","-","24.5"
"T03_3","7/18/04","2706","315","25",40,"< 1965","25","-","25"
"T02_2","7/28/04","2703","190","5",30,"1986","20","-","25"
"T03_1","7/18/04","2705","0","0",40,"< 1965","15","-","25"
"T04_1","7/17/04","2707","280","5",95,"< L.I.A., > 1965","25","10","25"
"T04_2","7/18/04","2701","330","5",95,"< L.I.A., > 1965","70","-","25"
"T04_3","","2700","340","5",95,"< L.I.A., > 1965","75","","25"
"T06_1","7/17/04","2710","0","0",155,"L.I.A.","40","10","25"
"T05_1","7/2/04","2704","140","20",155,"L.I.A.","80","-","25"
"T05_2","7/17/04","2705","25","15",155,"L.I.A.","90","-","25"
"T05_3","7/19/04","2708","130","25",155,"L.I.A.","80","-","20"
"T06_2","7/19/04","2707","0","0",155,"L.I.A.","25","70","25"
"T06_3","7/19/04","2706","0","0",155,"L.I.A.","60","10","25"
"T07_1","7/17/04","2700","137","10",3425,"> L.I.A., <L.G.","70","-","25"
"T07_3","7/29/04","2697","0","0",3425,"> L.I.A., <L.G.","80","-","27"
"T07_2","7/29/04","2695","90","20",3425,"> L.I.A., <L.G.","65","-","20.25"
"T09_1","7/17/04","2714","205","10",5000,"Late Glacial","80","-","25"
"T09_2","7/31/04","2716","140","5",5000,"Late Glacial","90","","25"
"T09_3","7/31/04","2715","240","10",5000,"Late Glacial","90","","25"
"T10_3","7/31/04","2734","0","0",5000,"Late Glacial","90","","25"
"T10_1","7/17/04","2719","110","15",5000,"Late Glacial","90","-","25"
"T10_2","7/20/04","2715","120","10",5000,"Late Glacial","90","-","25"
