"","Achillea.nana","Agrostis.rupestris","Alchemilla.pentaphyllea","Androsace.obtusifolia","Antennaria.carpathica","Antennaria.dioica","Arabis.caerulea","Artemisia.genipi","Avenula.versicolor","Bartsia.alpina","Cardamine.resedifolia","Carex.atrata","Carex.curvula","Cerastium.alpinum","Cerastium.cerastioides","Cerastium.uniflorum","Deschampsia.caespitosa","Draba.aizoides","Elyna.myosuroides","Erigeron.uniflorus","Euphrasia.minima","Festuca.halleri","Gentiana.verna","Geum.reptans","Gnaphalium.supinum","Hieracium.glaciale","Homogyne.alpina","Juncus.jacquinii","Leontodon.helveticus","Leucanthemopsis.alpina","Ligusticum.mutellina","Linaria.alpina","Luzula.spicata","Minuartia.sedoides","Minuartia.verna","Myosotis.alpestris","Oreochloa.disticha","Oxyria.digyna","Pedicularis.kerneri","Phyteuma.globulariifolium","Phyteuma.hemisphaericum","Poa.alpina","Polygonum.viviparum","Potentilla.aurea","Potentilla.frigida","Primula.daonensis","Primula.glutinosa","Pulsatilla.vernalis","Ranunculus.glacialis","Sagina.saginoides","Salix.foetida","Salix.helvetica","Salix.herbacea","Salix.reticulata","Salix.retusa","Saxifraga.aizoides","Saxifraga.androsacea","Saxifraga.bryoides","Saxifraga.oppositifolia","Senecio.incanus.incanus","Sibbaldia.procumbens","Silene.acaulis","Soldanella.pusilla","Taraxacum.alpestre","Trifolium.badium","Trifolium.thalii","Trisetum.spicatum","Veronica.alpina","Veronica.bellidioides"
"T01_1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"T02_3",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"T03_2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"T01_2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"T02_1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"T01_3",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"T03_3",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"T02_2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
"T03_1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"T04_1",1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0
"T04_2",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
"T04_3",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
"T06_1",1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0
