"","Data","Superficie rilievo (m2)","Età del substrato","classe di età","Quota (m)","Inclinazione (°)","Esposizione (°)","Assolazione relativa","Permanenza della neve","copertura pietre/suolo nudo (%)","copertura ba (%)","copertura e (%)","copertura muschi/licheni  (%)","years"
"X4","8/29/00","50","<68","1","2615","25","180","27.3","270.7","5","-","","80",34
"X25","7/23/01","40","<68","1","2530","0","-","-","262","35","-","65","-",34
"X27","7/24/01","42","<68","1","2580","0","-","-","267.1","20","-","50","70",34
"X31","7/26/01","40","<68","1","2500","15","220","14.7","258.9","15","-","85","5",34
"X54","8/24/01","52","<68","1","2750","25","165","26.5","284.6","40","-","50","-",34
"X55","8/24/01","48","<68","1","2735","10","280","-2.6","283.1","90","-","15","5",34
"X63","8/26/01","70","<68","1","2675","35","180","32.1","276.9","70","-","25","35",34
"X67","8/27/01","40","<68","1","2560","10","230","8.7","265.1","35","15","65","10",34
"X68","8/27/01","50","<68","1","2580","10","80","-2.6","267.1","65","-","40","5",34
"X69","8/28/01","40","<68","1","2520","0","-","-","261","35","-","70","25",34
"X70","8/28/01","70","<68","1","2550","20","155","21.4","264","80","-","25","10",34
"X71","8/28/01","100","<68","1","2570","10","145","11","266.1","95","-","5","5",34
"X72","8/28/01","56","<68","1","2570","20","150","20.5","266.1","80","-","20","5",34
"X86","9/2/01","40","<68","1","2800","5","340","-7.2","289.7","90","-","5","5",34
"X93","8/17/02","40","<68","1","2250","0","-","-","233.2","95","-","5","-",34
"X94","8/18/02","25","<68","1","2770","5","335","-6.9","286.7","90","-","5","5",34
"X95","8/18/02","28","<68","1","2770","35","270","-2.3","286.7","80","-","30","10",34
"X9","7/5/01","38","68-96","2","1520","10","190","13.1","158.2","10","-","80","10",82
"X10","7/5/01","54","68-96","2","2540","15","175","18.8","263","10","-","85","5",82
"X15","7/20/01","20","68-96","2","2590","20","145","19.5","268.2","20","-","75","5",82
"X16","7/20/01","20","68-96","2","2590","25","35","-32.3","268.2","10","-","75","5",82
"X17","7/21/01","27","68-96","2","2590","10","270","-0.1","268.2","90","-","15","5",82
"X23","7/23/01","27","68-96","2","2550","0","-","-","264","35","-","45","20",82
"X24","7/23/01","42","68-96","2","2550","30","140","23.6","264","80","-","25","-",82
"X26","7/24/01","30","68-96","2","2600","35","300","-25.6","269.2","80","-","25","-",82
"X19","7/22/01","35","96-130","3","2580","10","150","11.5","267.1","15","-","85","-",113
"X20","7/23/01","40","96-130","3","2580","20","130","15.5","267.1","15","-","85","-",113
"X21","7/23/01","15","96-130","3","2580","10","320","-11.8","267.1","5","-","90","5",113
"X22","7/23/01","55","96-130","3","2570","5","270","-0.1","266.1","10","-","90","5",113
"X34","7/27/01","49","96-130","3","2440","0","-","-","252.7","15","-","80","10",113
"X36","7/28/01","72","96-130","3","2440","10","215","11","252.7","15","-","80","10",113
"X42","8/10/01","30","96-130","3","2390","0","-","-","247.6","20","-","60","60",113
"X43","8/10/01","53","96-130","3","2390","20","60","-15.2","247.6","30","5","50","50",113
"X45","8/10/01","36","96-130","3","2390","15","305","-13.1","247.6","35","-","60","45",113
"X64","8/26/01","50","96-130","3","2620","0","-","-","271.2","30","-","70","35",113
"X77","8/31/01","60","96-130","3","2420","5","190","6.9","250.7","40","-","40","60",113
"X78","8/31/01","60","96-130","3","2420","35","10","-52.8","250.7","50","-","25","60",113
"X79","8/31/01","30","96-130","3","2420","0","-","-","250.7","5","-","50","50",113
"X80","8/31/01","36","96-130","3","2440","25","60","-18.8","252.7","20","-","50","70",113
"X81","8/31/01","40","96-130","3","2440","25","230","18.1","252.7","15","-","65","40",113
"X82","9/1/01","36","96-130","3","2420","0","-","-","250.7","25","10","60","50",113
"X8","7/5/01","32","130-181","4","2410","10","30","-13.4","249.7","10","-","85","45",155
"X12","7/19/01","24","130-181","4","2410","15","200","17.8","249.7","40","-","45","15",155
"X13","7/20/01","35","130-181","4","2540","30","135","21.9","263","20","10","70","15",155
"X14","7/20/01","35","130-181","4","2540","35","335","-48.9","263","20","-","70","15",155
"X47","8/12/01","16","130-181","4","2545","0","-","-","263.5","45","-","30","20",155
"X48","8/12/01","30","130-181","4","2570","20","270","-0.5","266.1","25","-","75","5",155
"X75","8/29/01","36","130-181","4","2480","15","220","14.7","256.8","30","-","40","40",155
"X76","8/29/01","50","130-181","4","2470","0","-","-","255.8","20","5","70","30",155
"X1","8/29/00","45",">181","5","2470","0","-","-","255.8","10","-","90","-",5000
"X6","7/4/01","44",">181","5","2630","30","165","29.2","272.3","20","-","80","-",5000
"X7","7/4/01","45",">181","5","2590","40","180","33.1","268.2","30","-","70","-",5000
"X11","7/19/01","36",">181","5","1475","10","140","10.3","153.5","10","20","50","10",5000
"X28","7/24/01","45",">181","5","2600","20","230","15.5","269.2","25","-","75","10",5000
"X29","7/24/01","34",">181","5","2600","0","-","-","269.2","20","-","80","10",5000
"X35","7/28/01","42",">181","5","2500","25","200","25.8","258.9","15","15","65","10",5000
"X40","8/7/01","45",">181","5","2470","0","-","-","255.8","20","15","70","5",5000
"X84","9/1/01","12",">181","5","2500","0","-","-","258.9","5","80","15","40",5000
"X85","9/1/01","36",">181","5","2460","0","-","-","254.8","5","50","60","10",5000
