"","Achillea.nana","Agrostis.alpina","Agrostis.rupestris","Androsace.alpina","Antennaria.carpathica","Arabis.alpina","Arabis.caerulea","Artemisia.genipi","Bartsia.alpina","Botrychium.lunaria","Campanula.cochleariifolia","Cardamine.resedifolia","Carex.curvula","Carex.sempervirens","Cerastium.uniflorum","Coeloglossum.viride","Doronicum.grandiflorum","Draba.aizoides","Erigeron.uniflorus","Euphrasia.minima","Festuca.halleri","Festuca.quadriflora","Festuca.varia","Gentiana.kochiana","Gentiana.verna","Geum.reptans","Gnaphalium.supinum","Hieracium.glanduliferum","Homogyne.alpina","Huperzia.selago","Leontodon.helveticus","Leucanthemopsis.alpina","Linaria.alpina","Lloydia.serotina","Loiseleuria.procumbens","Luzula.alpino.pilosa","Luzula.spicata","Minuartia.sedoides","Myosotis.alpestris","Oreochloa.disticha","Oxyria.digyna","Papaver.rhaeticum","Pedicularis.kerneri","Phyteuma.hemisphaericum","Poa.alpina","Polygonum.viviparum","Potentilla.grandiflora","Primula.daonensis","Primula.hirsuta","Ranunculus.glacialis","Rhodiola.rosea","Salix.herbacea","Salix.retusa","Saxifraga.aizoides","Saxifraga.androsacea","Saxifraga.bryoides","Saxifraga.oppositifolia","Saxifraga.paniculata","Saxifraga.seguieri","Sedum.alpestre","Senecio.incanus.carniolicus","Silene.acaulis","Soldanella.alpina","Taraxacum.alpestre","Trifolium.pallescens","Vaccinium.gaultherioides","Veronica.alpina"
"Tro.F1.1.a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tro.F1.1.b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tro.F1.1.c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tro.F1.1.d",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tro.F1.1.e",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"Tro.F1.2.a",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"Tro.F1.2.b",0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"Tro.F1.2.c",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"Tro.F1.2.d",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"Tro.F1.2.e",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
